Project Title,Submission Url,Project Status,Judging Status,Highest Step Completed,Project Created At,About The Project,"""Try it out"" Links",Video Demo Link,Opt-In Prizes,Built With,Notes,Team Colleges/Universities,Additional Team Member Count,What Is Your Table Number?,Mlh Points,Mlh Hardware Lab,Mlh Software Lab
GifBot,https://revuc-viii.devpost.com/submissions/114921-gifbot,Submitted (Gallery/Visible),Pending,,03/03/2019 12:28:24,"Inspiration

What it does

GifBot uses a webcam to capture a live frame of the user's facial expression to determine their emotion, then it returns a viewable gif that reflects that emotion.

How we built it

GifBot uses a combination of Python scripts, Microsoft Azure's Face API, and a Microsoft Azure hosted Linux virtual machine to take a photo, send the photo to Microsoft Azure's Face API to analyze the characteristics of the photo, then by using Giphy's API, it searches Giphy's database using keywords based on the data returned from Microsoft's Face API. 

Challenges we ran into

Networking: Microsoft's Face API uses an image's URL to locate the image, but the picture of the user is taken locally. Running a simple Apache server could alleviate the issue, but the University's firewall blocked this functionality. The workaround was to set up a Linux virtual machine on Azure, then use SCP to copy the local image onto the virtual machine.

Accomplishments that we're proud of

It works!!! We learned a lot about APIs in general and using multiple APIs to accomplish a task. We didn't settle; we finished what we started and we fulfilled our goals of the event.

What we learned

We learned a lot by struggling through using Microsoft Azure.

What's next for GifBot

Pushing it to mobile platforms; now that we have its basic functionality, we would like to try using React Native for allowing both Android and iOS development to bring it to the public.
",https://github.com/cmoney1034/GifBot,,Best Use of Azure (Microsoft),"python, microsoft-azure-face-api, giphy-api",,University of Akron,1,801-16,University of Akron,"",""
Ladybug,https://revuc-viii.devpost.com/submissions/114922-ladybug,Submitted (Gallery/Visible),Pending,,03/03/2019 12:28:58,"So my friends bailed on me for this Hackathon. So I brought my mom instead to show her what a Hackathon is all about.

It's a small game. You control a ladybug and avoid cacti and a wasp while collecting flowers. Use the arrow keys to move. The wasp freezes for three turns at the start and each time you collect a flower. Try to earn the highest score you can.

I coded and explained what I was doing while my mom told me what features she wanted. It's written in C# using Windows Forms as a GUI.

I'm proud that my mom now knows a little bit of basic coding in C#.
","",https://youtu.be/nN85SXo2nYM,"",c#,,Carthage College,0,801-13,"Carthage College, Harper College","",""
FaceRekExtension,https://revuc-viii.devpost.com/submissions/114934-facerekextension,Submitted (Gallery/Visible),Pending,,03/03/2019 12:32:59,"Inspiration

With the life-changing power of AI and Computer Vision, we can now easily use features like Face Recognition to leverage our own security in everyday tasks. We have yet to see any applications for browser utilize this feature, so we thought to ourselves why not?

What it does

It acts as an overlay on top of your browser to filter out the pages you don't want other people to access using facial recognition. Imagine some websites that have saved your login credentials, but you don't want your evil friends to see when they borrow your laptop. FaceRek provides a simple yet complete solution such a problem. 

How we built it

The utilized the powerful AWS Rekognition API to handle facial recognition and the Google Chrome Extension developer kit to build our app.

Challenges we ran into

Many: setting up AWS to work flawlessly within the Chrome extension; handling the complex flow of authorization; workaround to enable the camera on Chrome extension as it's not natively supported by them. 

Accomplishments that we're proud of

The extension works perfectly under our tests. It even blocks everything from Maps to Drive when we specify ""google"" as the blocking keyword.

What we learned

Building with AWS and Chrome extension. Teamwork matters. You can sleep 1 hour a day.

What's next for FaceRekExtension

We will release this extension in near future on Chrome Web Store. It may allow multiple users on the same machine; different levels of authorization; recovery password, etc.
",https://github.com/andre-le/FaceRekExtension,,"","javascript, html, chrome, amazon-web-services, cv",,Miami University,1,801C-5,Miami University,"",""
DONT USE THIS IS A TEST,https://revuc-viii.devpost.com/submissions/114935-dont-use-this-is-a-test,Submitted (Hidden),Pending,,03/03/2019 12:34:11,"Inspiration

An amazing hackathon

What it does

How I built it

Challenges I ran into

Accomplishments that I'm proud of

What I learned

What's next for DONT USE THIS IS A TEST
","",,"",c++,,"",0,999Z-999,University of Cincinnati,"",""
SongSnap,https://revuc-viii.devpost.com/submissions/114942-songsnap,Submitted (Gallery/Visible),Pending,,03/03/2019 12:46:01,"Inspiration

I have wanted this functionality for a long time.

What it does

It takes your currently playing Spotify song or other data and lets you use it as a Sticker in Snapchat

How I built it

I used Xcode and the Swift programming language to build it for iOS. For the web version I used NodeJS and React.

Challenges I ran into

Utilizing Spotify and Snapchat APIs and correlating the data. I was not able to post as a Sticker from the website.

Accomplishments that I'm proud of

Learning the Spotify API.

What I learned

I learned how to code in Swift.

What's next for SongSnap

I plan on finishing the iOS version since the web version could not function the way I wanted.
","",,Best Use of Snapkit (MLH),"swift, api, oauth, xcode, node.js",,University of Cincinnati,0,801B-5,University of Cincinnati,"",Domain.com and Snap
What do I wear?,https://revuc-viii.devpost.com/submissions/114944-what-do-i-wear,Submitted (Gallery/Visible),Pending,,03/03/2019 12:47:18,"What do I wear today?

This project helps you choose and pair the different clothes in your wardrobe to make you look your best.

We built this using a deep learning model implemented in Tensorflow along with some machine learning in Python.

Collecting the data was a big challenges we ran into and this took up a lot of time.

We are proud to have completed such a ambitious project in the limited time of the hackathon.

We learned to run a complete machine learning pipeline from data collection to final test results.

We would like to improve on this project by adding accessories for both men and women. We would also like to suggest new clothes you can add to your wardrobe in your budget.
","",,"Make the Customer's Life Easier (84.51), Best Demonstration of the Use of Data to enable Better Customer Experiences, Best Hack for Social Good (JP Morgan Chase & Co), Most Innovative Hack(TCS)","python, tensorflow",,University of Cincinnati,0,801-13,University of Cincinnati,"",Domain.com and Google Cloud Platform
Tap,https://revuc-viii.devpost.com/submissions/114945-tap,Submitted (Gallery/Visible),Pending,,03/03/2019 12:47:44,"Inspiration: We wanted to learn how to develop an Android app to learn new thing.

What it does: It is pretty useless app that does nothing but shows numbers when you tap a button.

How we built it: We learned how to use Unity to build the app in it.

Challenges we ran into: How to use Unity. We had to watch couple videos and ask couple friends.

Accomplishments that we're proud of: We were able to get the app to work as we intended.

What we learned: How to develop an Android app.

What's next for Tap: To add on database to keep track of the score online and for people to be able to share their score with other friends.
","",,"Best Design, Best Useless Hack",unity,,"Sinclair Community College, Wright State University",3,860B-1,"University of Cincinnati, Sinclair Community College, Wright State University","",""
Open Banking API creation challenge by 5/3th Bank,https://revuc-viii.devpost.com/submissions/114954-open-banking-api-creation-challenge-by-5-3th-bank,Submitted (Gallery/Visible),Pending,,03/03/2019 12:59:55,"Inspiration

It is a challenge posted by fifth third bank. I found the concept interesting so started to work on it

What it does

Creates specific API with limited access for the 3rd party application

How I built it

Using Node.js Express.js for backend API creation. MongoDB is used to handle user data. Postman is used for testing the API's.

Challenges I ran into

No major challenges, Anyone who is expert in javascript can create and understand this project

Accomplishments that I'm proud of

Having 15 hours, I completed this full project

What I learned

A lot, especially about the open banking concept

What's next for Open Banking API creation challenge by 5/3th Bank

Need to create a frontend using Angular or React to extend this project further
",https://github.com/vr025/Backend-API-creation-for-Open-Banking,,Best Design,"node.js, postman, javascript, mongodb, express.js",,University of Cincinnati,0,860D-5,university of cincinnati,"",""
Chainsmokers,https://revuc-viii.devpost.com/submissions/114958-chainsmokers,Submitted (Gallery/Visible),Pending,,03/03/2019 13:03:03,"Revolution UC: Chainsmokers Project

Inspiration

I like music and wanted to learn more about how electronic equipment can take audio signals and analyze them.

What it does

Makes an LED strip dance to music.

How I built it

I attached a sound sensor and LED strip to an arduino. The sound sensor listens for music and produces an analog signal. This analog signal is sampled and processed by the arduino. Then it is converted into a height value corresponding to the intensity of the music and a peak value corresponding to the highest recent spike in intensity. I designed different animations based on these two vales. I then added a push button to toggle between the different modes.

Challenges I ran into


The first controller i used didnt support the led control library i wanted to use so i had to switch to a different board.
When the microphone and led strip were powered off of the same power supply, the extra power consumed by the LED strip would cause interference in the analog signal produced by the microphone
The analog signal produced by the microphone is very complicated to understand and I had to try multiple different strategies to find patterns in the data it produced
The microphone picks up a lot of noise in the environment other than the music. I had to find a way to smooth out that noise and focus on the music playing instead.
The microphone can be placed anywhere in a room relative to the speakers playing music. I had to find a way to make the code adjust to different volume levels and still produce a similar animation on the LED strip.


Accomplishments that I'm proud of


I was able to make an animation that accurately corresponds to music.
I was able to use a push button to toggle between
I made something really cool that I can show my friends


What I learned


How to use an analog reference signal to prevent interference from a power supply
How to use a push button sensor in three different modes of operation
How to understand and process analog signals
How to detect and smooth out noise from a microphone


What's next for Chainsmokers

I want to learn how to use Fast Fourier Transforms to further analyze audio signals and break them down into frequency bands to create more interesting animations. I also want to hook this project up to the internet to be able to toggle it on/off and between modes using the Internet of Things.
",https://github.com/Rooknj/RevolutionUC-LED/tree/master,,"Best Hardware Hack, Best Useless Hack, Best Undergrad Hack (Undergrad Research)","arduino, c++",,University of Cincinnati,0,801E-2,University of Cincinnati,Arduino 101,""
FileBuddy,https://revuc-viii.devpost.com/submissions/114959-filebuddy,Submitted (Gallery/Visible),Pending,,03/03/2019 13:03:06,"Inspiration

The main idea was my idea, that is Blake Mallory's idea.  I got the idea from being the Academic Chairman of my fraternity.  In that role, I am responsible for holding brothers who have under performed academically accountable, part of that involves them sending me signs, such as photos, of them taking steps to improve.  This often becomes hard to manage, and after seeing apps like CamScanner, and after learning about WebAssembly, I had the idea to make an app to solve this issue by making a webapp.

What it does

The app allows a user to either submit an existing photo, or take a new one with their device.  This image is then processed by OpenCv and transformed so that it can be easily read.  This file is then submitted to a server for storage and categorization. 

How we built it

The app was built around docker.  There are three containers, one for the web app, one for the rest server, and one for the database.  These containers all communicate to make the whole product.  The web app was made using Vue.js and OpenCv and built on a debian docker image.  The rest server was built using python, flask, and a debian docker image.  The database was a postgresql database image.

Challenges we ran into

The first major challenge we faced was getting OpenCV to work.  Since WebAssembly, the technology that makes running OpenCV in the web browser possible is relatively new, the resources online were almost non existent.  The next issue we had was CORs, as we had not had a lot of experience with it in the past and the error messages were sometimes unclear.  Lastly, we had an issue with posting the scanned canvas to the server and spent a long period on time on that issue.

Accomplishments that we're proud of

We created a unique, challenging, relatively cutting edge piece of technology that has potential for the future.  We also learned a great deal.

What we learned

We learned or improved on Vue.js, OpenCv, Python Flask APIs, and Docker.

What's next for FileBuddy

We enjoyed working on this project, and plan on cleaning up the rough edges and bringing FileBuddy to the full vision we had at the start.
",http://104.248.228.126:2375/#/,,"Best Undergrad Hack (Undergrad Research), Make the Customer's Life Easier (84.51)","vue, docker, webassembly, opencv, python, flask",,University of Cincinnati,1,801-8,University of Cincinnati,"",""
Cool Math Maze,https://revuc-viii.devpost.com/submissions/114961-cool-math-maze,Submitted (Gallery/Visible),Pending,,03/03/2019 13:04:30,"I was bored at midnight so I decided to make a small maze out of website URLs. I ran into a problem by only being able to create one free domain, so the correct answer brings you to my other domain from a previous hackathon.
","",," Best Domain Registered with Domain.com (MLH), Best Useless Hack",domain,,Lawrence Technological University,0,860d-4,Lawrence Technological University,"",""
UC_bearcats_lung_cancer_study,https://revuc-viii.devpost.com/submissions/114965-uc_bearcats_lung_cancer_study,Submitted (Gallery/Visible),Pending,,03/03/2019 13:07:00,"Inspiration

We are motivated by exploring the spatial distribution patterns of rate of new lung cancers, rate of new cancer deaths at county level in Kentucky in 2015, and related socioeconomic contributing factors. 

The two main research questions are:

(1) Do a spatial distribution patterns of rate of new lung cancers and rate of new cancer deaths show a cluster distribution in Kentucky? 

(2) If the spatial distribution presents a cluster characteristic, where are the hot spots located? 

What it does

We proposed to analyse spatial pattern.

How I built it

We built based on ArcGIS 10.3 platform.

Challenges I ran into

How to interpret the spatial patterns in a proper way?

Accomplishments that I'm proud of

We show the spatial patterns of lung cancer distribution

What I learned

1) Socioeconomic factors can contribute the rate of new lung cancers, rate of new cancer deaths in Kentucky, such as smoking, age, race, education, income, employment.

What's next for UC_bearcats_lung_cancer_study

1) Based on the above observations,  we propose a spatial lag regression model for our future study .
","",,Make the Customer's Life Easier (84.51),esri,,University of Cincinnati,0,801A-4,University of Cincinnati,"",""
Social Media connector using MERN stack for JP Morgan,https://revuc-viii.devpost.com/submissions/114966-social-media-connector-using-mern-stack-for-jp-morgan,Submitted (Gallery/Visible),Pending,,03/03/2019 13:07:07,"Inspiration

A challenge from JP Morgan and chase

What it does

It is a social connector for developers who can interact with each other once created the profile in the website

How I built it

Using MERN stack, i.e. React, node.js, express.js, mongoDB

Challenges I ran into

Making Frontend was a challenging task I faced

Accomplishments that I'm proud of

Created within 24 hours

What I learned

MERN stack concepts

What's next for Social Media connector using MERN stack for JP Morgan

More features like online status, publish subscribe messaging concept can be implemented as a future task
",https://github.com/vr025/Social-connecter-website-using-MERN-stack.git,,Best Hack for Social Good (JP Morgan Chase & Co),"react, redux, node.js, express.js, mongodb",,University of Cincinnati,0,860D-5,university of cincinnati,"",""
Removing Barriers,https://revuc-viii.devpost.com/submissions/114971-removing-barriers,Submitted (Gallery/Visible),Pending,,03/03/2019 13:14:07,"Inspiration

What it does

How I built it

Challenges I ran into

Accomplishments that I'm proud of##iteration one not ready yet send iteration two better version soon

What I learned

What's next for Removing Barriers
","",,"","",,University of Michigan - Dearborn,0,unsure,1,"",""
AutoMed,https://revuc-viii.devpost.com/submissions/114981-automed,Submitted (Gallery/Visible),Pending,,03/03/2019 13:20:34,"Inspiration

In todayâ€™s fast-paced world, it can be difficult to remember to remember the small, but important things in life. For most people that entails forgetting when to take their medicine. We wanted to solve this problem. Also, most drugs today are designed to administer large portions at a time which is ok, but isn't the best for the body. There are little to no methods of slowly releasing medicine that exist today. We were inspired to have multiple dosages per day and that can be difficult to keep track of. We recognized this problem, and we realized that we needed to automate this often difficult and frustrating process. We wanted to solve this problem by creating a wearable that will alert you as soon your time to take your medicine has come. And this will automatically give you medicine in the correct calculated dosage with the added functionality of making it slow release for extra safety.

What it does

AutoMed is a 3D printed wearable controlled by a mobile device through a Bluetooth serial connection that access a Google Firebase database that we set up to get correct information to calculate dosage. The application uses software to customize the user experience for every patient and calculates a dosage of medicine based on the patients personal inputs (weight, age) and the type of drug they are taking. The patient logs in to the system by entering their name and phone number. They will then receive a text telling them that they have successfully entered into the system and will receive texts for their dosage periodically. We do this by utilizing Twilio software. Then, when they do get the texts, they can press a button on the wearable and it will automatically inject the necessary amount of drug into their bloodstream. Our application is very secure as it also access Google Firebase for secure authentication.

How we built it

AutoMed was built mainly by a 3D printer. The device itself was designed in Autodesk Inventor to ensure a compact and secure design optimized for the user experience. 3D printing allowed us to easily make adjustments to the design of AutoMed and guaranteed a low cost product. This makes AutoMed something that is accessible to everyone, including those who do not necessarily have the means to heavily invest in an insulin pen that serves the same purpose as AutoMed. We also developed a mobile app in Android Studio that connects to the wearable using a Bluetooth Serial communication. The app also calculates the correct dosages and the amount of times needing to be administered daily for the corresponding drug and then sends this data over to the device. The calculations and user authentication are done using Google Firebase, and reminders are sent out to the users' phones using Twilio.

Challenges we ran into

One of the biggest challenges we ran in to was the low quality 3D printed parts that were being made with our printer. Our 3D printer that we brought wasn't printing well and was also performing slowly. We intended to conceal most of the electronics with a 3D printed TPU flexible sleeve but our printer was unable to do so. Another big challenge we ran into was deciding on an idea that we all liked. It took us almost 10 hours to think of an idea that we stuck with. We pivoted 3 times before hand.  

Accomplishments that we're proud of

We are proud of the software we were able to create in the short amount of time. Although we weren't able to get the design on par with our vision, we spent a lot of time working on the software to make that exceed our standards. Our app communicates to the device using Bluetooth serial communication. It also connects to Google Firebase and utilizes databases that exist for dosages with respect to characteristics of a human. We also used Google Firebase to authenticate our users that sign into the app. And lastly, after being stunned by the Twilio demonstration during the opening ceremony, we decided to incorporate this in our app. Our app now alerts its users to take their dosage at the correct times of day by sending them a text message by utilizing Twilios software. Our software also calculates dosage and how often the drug needs to be taken by just entering weight, age, and selecting the drug of choice. Overall we are also proud of our 3D printed wearable that we built in only around 12 hours.

What we learned

When working on AutoMed, we learned a lot on both the software and hardware sides. Although we have used Android Studio and java in the past, making a mobile application with Android Studio while integrating bluetooth functionality was new. We ran into many problems and we constantly talked about how next time making a mobile application would be so much easier and how we could make apps on our own. Going to a hackathon is a totally unique experience where you are in a building for 24 hours and are forced to learn new things for that whole 24 hours.. We know as a group that we would not have learned as much as we did about Firebase, Bluetooth serial communication code, and other new software endeavors without coming to this hackathon. Relating to hardware, we learned how to utilize Arduino to control stepper motors which was a very tough task. Along with this, we familiarize ourselves with Arduino Nano and a Bluetooth Module and how we can use the two together as this is our first time working with both of those pieces of hardware.

What's next for AutoMed

Some big next steps we are already looking into are incorporating a system where the patient can directly message the doctor through the mobile app and vice versa. This connection will also allow doctors to readily access patient information stored in the database. On top of that, the doctor will be able to regulate the dosage of the medicine remotely. We created this application in Android studio because most of the world uses android to cell phones due to the lack of infrastructure for landline phones. This is why we specially targeted an Android app for this hackathon. In the future we plan on expanding to IOS and swift. This will allow Auto-Med to grow as a medical device to more people outside of our accessible community. Our medicine database as of now only consists of 6 medicines, but we hope to expand to hundreds of medicines which will allow for more universal access to the application and AutoMed.
",https://github.com/adarshponaka/AutoMed,,"Best Design, Best Hardware Hack, Best High School Hack, Best Hack for Social Good (JP Morgan Chase & Co), Best Use of Twilio","android-studio, arduino, serial-communication, autodesk, 3d-printing, java, medicine, google-firebase, bluetooth",,"",2,860 d3,William Mason High School,"",""
FinTopia,https://revuc-viii.devpost.com/submissions/114982-fintopia,Submitted (Gallery/Visible),Pending,,03/03/2019 13:21:16,"Inspiration

According to a study done by American Psychological Association, Money and Work are the top two sources of stress in an adult's life. In 2007, these two sources comprised of 65 percent of stress, and In 2015 they comprised of 67 percent of stress. We explored the data-set from the National Financial Well-Being survey to learn more about how a wide range of factors relate to consumers' financial well-being. 

What it does

We have a short survey for consumers in our application that comprises of 10 most important factors that affect the financial well-being of a person. Depending on the results of the survey, and where they stand relative to the data we gathered, the app offers an exclusive financial plan to the user based on their needs. 

How we built it

We collected the data-set from Kaggle, and cleaned it by using the Pandas and Numpy libraries in python. We then built our scatter plot using the libraries hosted by the plotly cdn and the Cloudflare cdn. Plotly is the part of D3.JS framework. We used plotly libraries for data visualization. We also used Google's font api ""Google fonts"" to load the railway font. We then stored the clean data in a data variable. After that we parsed through the whole data using the D3 Javascript library. Now we have a form that is using the JSON file to upload the data on a local server and looping through the array to get the average of all the values. Once it has the average, it's publishing the value to the ""y"" value data array we already created in. X values are auto incrementing from 0 to 5001. This whole process gives user a scatter plot in the end that represents the financial wellbeing of the user in comparison to all other people in the dataset.

Challenges we ran into

It was incredibly difficult to find a suitable dataset in such a short period of time, and that impacted our application greatly. We ran into various challenges. Since back-end development is new to us we had difficulty setting up a Cherrypy server. We were stuck at the configuration process of the server. We also had difficulty 

Accomplishments that we're proud of

In just 24 hours, we built an application using very big data. Our idea solves a serious real world problem. Both of us in the team did not have much experience with the technologies we worked with. We stayed up all night to polish our application!

What we learned

We learned to setup a CherryPy Server. We were new to learning D3.

What's next for FinTopia

We are planning on making a fully customizable financial planning application
","",," Best Domain Registered with Domain.com (MLH), Best Design, Best Useless Hack, Best Undergrad Hack (Undergrad Research), Make the Customer's Life Easier (84.51), Best Demonstration of the Use of Data to enable Better Customer Experiences, Best Hack for Social Good (JP Morgan Chase & Co)","javascript, cherrypy, python, html, css, d3.js, kaggle, canvas, plotly",,"",0,N/A,University of Toledo,"",""
Bread and Milk Alarm,https://revuc-viii.devpost.com/submissions/114986-bread-and-milk-alarm,Submitted (Gallery/Visible),Pending,,03/03/2019 13:23:30,"Inspiration

it was snowing

What it does

annoys you

How I built it

with a computer

Challenges I ran into

making sure it was snowing

Accomplishments that I'm proud of

making it while it was snowing

What I learned

its snowing

What's next for Bread and Milk Alarm

continue to keep people alerted
","",,"","twilio, python",,University of Cincinnati,0,801B-5,1,"",""
